pull_req_id,github_id,useful,requester,created_at,num_commits_open,lines_modified_open,files_modified_open,commits_on_files_touched,branch_hotness,branch_commits,branch
37799996,26286,useless,sunpietro,1523570617,1,16,1,0.9638639403292181,100.31881378600826,214,v4-dev
37745946,26278,useful,Swardu,1523495443,5,26,5,4.346239197530864,101.3856865997943,214,v4-dev
37742095,26276,useful,namiltd,1523490230,1,2,1,3.901059413580247,100.52469663065844,213,v4-dev
37741117,26275,useless,Johann-S,1523488736,1,2,1,2.4727290380658435,100.56562024176958,213,v4-dev
37731504,26274,useless,zheengleily,1523471157,250,7958,153,60.41887345679014,100.04099678497947,212,v4-dev
37720679,26273,useful,MohammadYounes,1523451216,1,12,1,0.5704729938271604,100.58828485082306,214,v4-dev
37720477,26272,useful,denisname,1523450997,1,2,1,0.979247170781893,100.59431185699592,214,v4-dev
37705664,26269,useful,patrickhlauke,1523432985,1,2,1,1.4532172067901237,101.09434027777776,223,v4-dev
37692113,26263,useful,Lausselloic,1523417989,1,2,1,2.8577195216049387,100.51954385288066,222,v4-dev
37688170,26261,useless,wyFTD,1523412021,1,1,1,2.862324459876543,100.68992656893003,222,v4-dev
37685809,26260,useless,geeknicker,1523408952,1,1,1,0,100.77754462448563,222,v4-dev
37685590,26259,useful,XhmikosR,1523408664,2,12,3,2.216353780864197,100.78576684670783,222,v4-dev
37677144,26257,useful,client9,1523395906,1,12,2,1.4722907664609055,101.14999987139916,222,v4-dev
37642628,26247,useful,XhmikosR,1523345252,2,141,5,7.561887731481482,102.60232574588474,223,v4-dev
37625342,26242,useful,arechsteiner,1523323263,1,8,2,4.292047968106996,100.21751028806578,220,v4-dev
37621852,26240,useless,imxiaozhi,1523318416,1,2,1,0.9962971965020576,100.35464248971195,220,v4-dev
37620509,26238,useful,ysds,1523316529,1,3,1,0.44970949074074074,100.40802983539096,220,v4-dev
37617459,26234,useful,XhmikosR,1523311639,6,724,6,26.115779963991777,101.55284760802466,221,v4-dev
37566339,26222,useful,XhmikosR,1523232666,2,34,5,4.527142232510288,100.75715805041156,218,v4-dev
37554780,26219,useless,chiak2012,1523210594,250,7957,153,49.633295010288045,100.36578292181076,217,v4-dev
37546568,26218,useful,mdo,1523190249,5,298,199,137.42156983024674,100.93353819444442,217,v4-dev
37545943,26217,useful,mdo,1523188637,1,4,1,0.17325951646090532,99.97434143518517,217,v4-dev
37397718,26201,useful,XhmikosR,1522881396,1,6,2,5.10786651234568,103.51134606481484,215,v4-dev
37298967,26194,useful,jquense,1522733455,1,2,1,0.7825132458847737,107.62971875000002,224,v4-dev
37295472,26193,useful,MartijnCuppens,1522729173,1,17,1,2.759573816872428,107.75440419238683,227,v4-dev
37292055,26192,useful,ruedap,1522724259,1,4,1,1.7792551440329216,107.89785558127572,227,v4-dev
37229066,26182,useless,wangxiaoxaio,1522614561,1,1,1,1.945003086419753,109.12662564300416,234,v4-dev
37222763,26181,useful,mdo,1522599826,3,25,7,31.49384915123457,108.56588940329218,233,v4-dev
37217240,26180,useful,mdo,1522584677,1,28,2,1.8901983024691358,104.99560982510292,229,v4-dev
37216656,26179,useful,mdo,1522583277,2,32,2,0.5421947016460906,105.03683924897113,229,v4-dev
37208282,26178,useful,rec,1522563817,1,2,1,1.0163851594650204,104.60355979938274,228,v4-dev
37199803,26176,useful,XhmikosR,1522536119,3,72,14,13.750604166666665,104.40584632201646,227,v4-dev
37196003,26173,useful,mdo,1522523193,1,2,1,0,92.72778369341566,215,v4-dev
37196147,26172,useful,mdo,1522523152,1,11,2,1.5976274434156377,92.72891730967075,215,v4-dev
37189152,26171,useful,mdo,1522501185,1,4,1,0.8123833590534979,91.32698611111111,214,v4-dev
37188904,26170,useful,mdo,1522500348,3,7,2,3.380770318930041,91.350080632716,215,v4-dev
37188706,26169,useful,mdo,1522499697,1,2,1,0.5827247942386832,91.36816113683132,216,v4-dev
37188482,26168,useful,mdo,1522498975,1,33,2,1.3210860339506172,91.38821669238683,216,v4-dev
37188177,26167,useful,mdo,1522498122,1,19,1,0.12132368827160489,91.4119111368313,216,v4-dev
37129742,25979,useful,MartijnCuppens,1522363776,1,2,1,2.304846450617284,91.35860519547323,236,v4-dev
37129408,25978,useful,XhmikosR,1522363116,1,6,2,3.6324256687242795,91.37863605967077,236,v4-dev
37108528,25974,useful,Johann-S,1522322322,1,61,5,11.756613168724279,88.59299871399175,233,v4-dev
37096888,25972,useless,mdo,1522306676,5,1362,202,119.30577842078193,89.06181532921809,233,v4-dev
37090543,25969,useless,m5o,1522299212,1,2,1,0,89.28546656378596,233,v4-dev
37090019,25968,useless,m5o,1522298558,2,24,4,11.10116679526749,89.30506301440326,233,v4-dev
37088614,25967,useless,new2018ellen,1522296584,1,1,1,1.5452228652263376,89.36421193415633,233,v4-dev
37080601,25966,useless,zhaosen88,1522282962,1,1,1,0,89.77238143004112,233,v4-dev
37070807,25965,useful,Varunram,1522264123,1,1,1,1.6654131944444444,90.33687307098762,233,v4-dev
37003672,25958,useless,dotku,1522157788,1,1,1,0,93.75816177983543,258,v4-dev
36987675,25954,useful,XhmikosR,1522137549,2,10,2,1.758516846707819,94.42967181069966,258,v4-dev
36967084,25951,useful,XhmikosR,1522111980,1,4,2,0.9324501028806584,94.29686509773666,267,v4-dev
36958323,25949,useless,wangtian83,1522096743,1,1,1,1.8792705761316872,94.8273535236625,278,v4-dev
